week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event
1,1,emergency,32,76,32,44,67,70,none
1,1,surgery,45,130,45,85,83,78,flu
1,1,general_medicine,37,201,37,164,97,43,flu
1,1,ICU,22,31,22,9,84,91,flu
2,1,emergency,28,169,28,141,75,64,none
2,1,surgery,40,26,26,0,96,56,none
2,1,general_medicine,43,183,43,140,73,93,flu
2,1,ICU,16,7,7,0,79,85,donation
3,1,emergency,32,177,32,145,73,58,flu
3,1,surgery,27,66,27,39,63,72,flu
3,1,general_medicine,37,58,37,21,95,63,none
3,1,ICU,20,21,20,1,82,89,none
4,1,emergency,32,157,32,125,83,75,none
4,1,surgery,56,57,56,1,74,94,none
4,1,general_medicine,43,152,43,109,67,66,flu
4,1,ICU,20,21,20,1,64,85,flu
5,2,emergency,25,388,25,363,93,72,flu
5,2,surgery,26,70,26,44,81,83,donation
5,2,general_medicine,40,103,40,63,73,52,none
5,2,ICU,22,13,13,0,73,88,none
6,2,emergency,34,198,34,164,72,76,flu
6,2,surgery,27,58,27,31,96,81,donation
6,2,general_medicine,69,90,69,21,72,81,none
6,2,ICU,14,12,12,0,87,51,none
7,2,emergency,33,127,33,94,65,77,none
7,2,surgery,37,46,37,9,89,60,none
7,2,general_medicine,62,80,62,18,84,98,donation
7,2,ICU,21,47,21,26,72,83,flu
8,2,emergency,26,240,26,214,96,75,flu
8,2,surgery,51,20,20,0,91,61,strike
8,2,general_medicine,58,105,58,47,71,88,none
8,2,ICU,12,10,10,0,76,98,none
9,3,emergency,28,113,28,85,82,86,none
9,3,surgery,22,41,22,19,61,93,none
9,3,general_medicine,38,78,38,40,63,60,none
9,3,ICU,11,20,11,9,97,73,none
10,3,emergency,17,130,17,113,81,60,none
10,3,surgery,38,57,38,19,68,55,none
10,3,general_medicine,35,64,35,29,95,68,none
10,3,ICU,13,8,8,0,91,56,none
11,3,emergency,16,97,16,81,98,72,donation
11,3,surgery,48,48,48,0,82,80,none
11,3,general_medicine,35,50,35,15,75,75,none
11,3,ICU,14,17,14,3,61,50,none
12,3,emergency,28,347,28,319,68,83,flu
12,3,surgery,38,24,24,0,79,73,none
12,3,general_medicine,33,69,33,36,70,98,none
12,3,ICU,16,13,13,0,79,94,donation
13,4,emergency,23,142,23,119,77,95,none
13,4,surgery,41,54,41,13,75,90,none
13,4,general_medicine,33,72,33,39,73,70,none
13,4,ICU,17,12,12,0,66,52,none
14,4,emergency,15,97,15,82,71,71,none
14,4,surgery,33,49,33,16,97,87,none
14,4,general_medicine,51,47,47,0,86,76,none
14,4,ICU,10,16,10,6,92,54,none
15,4,emergency,17,53,17,36,94,98,none
15,4,surgery,31,124,31,93,65,76,flu
15,4,general_medicine,53,179,53,126,90,76,flu
15,4,ICU,14,11,11,0,92,52,none
16,4,emergency,23,144,23,121,62,89,none
16,4,surgery,37,28,28,0,82,31,strike
16,4,general_medicine,39,41,39,2,85,66,none
16,4,ICU,18,15,15,0,98,78,none
17,5,emergency,21,133,21,112,84,73,none
17,5,surgery,40,23,23,0,95,94,none
17,5,general_medicine,33,76,33,43,75,63,none
17,5,ICU,14,17,14,3,87,83,none
18,5,emergency,18,100,18,82,81,80,donation
18,5,surgery,43,36,36,0,81,98,none
18,5,general_medicine,31,25,25,0,96,62,strike
18,5,ICU,12,9,9,0,63,55,none
19,5,emergency,16,70,16,54,99,45,strike
19,5,surgery,42,44,42,2,78,66,none
19,5,general_medicine,43,60,43,17,85,86,none
19,5,ICU,14,17,14,3,68,61,none
20,5,emergency,21,45,21,24,93,81,none
20,5,surgery,31,39,31,8,99,94,none
20,5,general_medicine,40,70,40,30,64,71,none
20,5,ICU,10,14,10,4,85,65,none
21,6,emergency,18,95,18,77,88,63,none
21,6,surgery,30,44,30,14,64,67,donation
21,6,general_medicine,45,70,45,25,95,82,none
21,6,ICU,12,9,9,0,69,54,none
22,6,emergency,16,129,16,113,69,68,none
22,6,surgery,18,21,18,3,63,65,none
22,6,general_medicine,46,36,36,0,87,88,donation
22,6,ICU,9,6,6,0,92,82,none
23,6,emergency,22,54,22,32,62,50,none
23,6,surgery,26,43,26,17,72,61,none
23,6,general_medicine,27,81,27,54,94,77,donation
23,6,ICU,17,12,12,0,85,83,none
24,6,emergency,18,105,18,87,70,78,none
24,6,surgery,39,21,21,0,95,39,strike
24,6,general_medicine,47,66,47,19,94,97,none
24,6,ICU,9,9,9,0,91,73,none
25,7,emergency,15,48,15,33,72,72,none
25,7,surgery,22,39,22,17,76,98,none
25,7,general_medicine,36,51,36,15,81,62,none
25,7,ICU,8,6,6,0,71,90,none
26,7,emergency,18,96,18,78,87,63,none
26,7,surgery,31,30,30,0,75,54,none
26,7,general_medicine,43,72,43,29,80,85,none
26,7,ICU,14,8,8,0,98,63,none
27,7,emergency,15,67,15,52,82,78,none
27,7,surgery,29,24,24,0,68,59,none
27,7,general_medicine,36,61,36,25,66,95,none
27,7,ICU,15,10,10,0,86,51,none
28,7,emergency,15,69,15,54,78,66,donation
28,7,surgery,31,28,28,0,66,74,none
28,7,general_medicine,26,36,26,10,90,68,none
28,7,ICU,12,8,8,0,86,59,none
29,8,emergency,16,92,16,76,72,99,none
29,8,surgery,36,31,31,0,87,57,none
29,8,general_medicine,30,62,30,32,60,52,none
29,8,ICU,14,15,14,1,84,82,none
30,8,emergency,16,85,16,69,91,94,none
30,8,surgery,32,15,15,0,70,66,strike
30,8,general_medicine,38,47,38,9,77,96,none
30,8,ICU,8,7,7,0,62,65,none
31,8,emergency,20,48,20,28,69,81,none
31,8,surgery,20,24,20,4,83,86,donation
31,8,general_medicine,45,60,45,15,85,57,none
31,8,ICU,8,12,8,4,87,86,none
32,8,emergency,20,89,20,69,76,58,none
32,8,surgery,31,25,25,0,87,97,none
32,8,general_medicine,34,59,34,25,65,67,none
32,8,ICU,11,15,11,4,84,51,none
33,9,emergency,28,54,28,26,92,56,donation
33,9,surgery,36,30,30,0,80,75,none
33,9,general_medicine,51,98,51,47,86,98,none
33,9,ICU,11,13,11,2,94,50,none
34,9,emergency,21,31,21,10,64,60,strike
34,9,surgery,22,42,22,20,96,86,none
34,9,general_medicine,48,56,48,8,80,63,none
34,9,ICU,10,7,7,0,72,53,none
35,9,emergency,15,81,15,66,93,77,none
35,9,surgery,26,45,26,19,93,52,none
35,9,general_medicine,41,40,40,0,64,79,none
35,9,ICU,18,5,5,0,82,64,none
36,9,emergency,28,115,28,87,70,88,none
36,9,surgery,47,53,47,6,97,99,none
36,9,general_medicine,59,54,54,0,86,83,none
36,9,ICU,15,5,5,0,83,64,none
37,10,emergency,23,110,23,87,76,54,none
37,10,surgery,31,39,31,8,69,66,none
37,10,general_medicine,58,48,48,0,93,55,none
37,10,ICU,13,20,13,7,82,65,none
38,10,emergency,22,71,22,49,67,53,none
38,10,surgery,47,48,47,1,62,81,none
38,10,general_medicine,63,78,63,15,78,70,none
38,10,ICU,20,18,18,0,81,70,none
39,10,emergency,20,67,20,47,85,95,none
39,10,surgery,36,49,36,13,86,58,none
39,10,general_medicine,48,59,48,11,89,72,strike
39,10,ICU,11,15,11,4,95,50,none
40,10,emergency,18,57,18,39,81,43,strike
40,10,surgery,46,36,36,0,83,51,none
40,10,general_medicine,47,107,47,60,66,52,none
40,10,ICU,12,15,12,3,97,84,none
41,11,emergency,27,92,27,65,69,88,none
41,11,surgery,31,49,31,18,85,93,none
41,11,general_medicine,50,70,50,20,84,53,none
41,11,ICU,21,20,20,0,77,96,none
42,11,emergency,24,99,24,75,67,89,none
42,11,surgery,45,67,45,22,65,75,none
42,11,general_medicine,67,114,67,47,65,86,none
42,11,ICU,16,12,12,0,80,55,none
43,11,emergency,21,171,21,150,70,79,none
43,11,surgery,50,33,33,0,62,89,donation
43,11,general_medicine,42,49,42,7,79,77,none
43,11,ICU,18,12,12,0,89,87,none
44,11,emergency,27,138,27,111,74,60,none
44,11,surgery,45,28,28,0,65,75,none
44,11,general_medicine,57,70,57,13,92,69,none
44,11,ICU,12,16,12,4,73,87,none
45,12,emergency,32,193,32,161,72,92,none
45,12,surgery,32,37,32,5,64,72,none
45,12,general_medicine,40,67,40,27,99,51,none
45,12,ICU,18,42,18,24,70,54,flu
46,12,emergency,36,187,36,151,64,93,none
46,12,surgery,52,39,39,0,68,83,none
46,12,general_medicine,41,29,29,0,81,58,strike
46,12,ICU,23,28,23,5,89,75,flu
47,12,emergency,22,91,22,69,63,54,strike
47,12,surgery,57,48,48,0,99,57,none
47,12,general_medicine,55,92,55,37,97,82,none
47,12,ICU,13,16,13,3,76,82,none
48,12,emergency,20,165,20,145,99,89,none
48,12,surgery,49,32,32,0,65,52,none
48,12,general_medicine,48,105,48,57,74,96,none
48,12,ICU,16,23,16,7,98,76,none
49,12,emergency,26,137,26,111,92,86,none
49,12,surgery,26,29,26,3,81,51,none
49,12,general_medicine,72,63,63,0,92,87,none
49,12,ICU,16,22,16,6,83,64,none
50,12,emergency,24,101,24,77,63,61,none
50,12,surgery,59,65,59,6,95,85,none
50,12,general_medicine,72,57,57,0,79,60,none
50,12,ICU,22,13,13,0,65,57,none
51,12,emergency,31,123,31,92,71,75,none
51,12,surgery,63,48,48,0,84,82,none
51,12,general_medicine,74,285,74,211,95,89,flu
51,12,ICU,18,15,15,0,87,80,none
52,12,emergency,26,130,26,104,88,63,none
52,12,surgery,53,39,39,0,82,50,none
52,12,general_medicine,65,225,65,160,82,40,flu
52,12,ICU,22,24,22,2,80,96,none
